"basin_depth","D14C_anom","D14C_err","o2_anom","o2_err","comment","o2_anom_sol","DDIC_soft_LGM","DDIC_soft_LGM_sigma","DDIC_dis_LGM","DDIC_dis_LGM_sigma","DDIC_total_LGM","DDIC_total_LGM_sigma","frac_soft_lgm","frac_soft_lgm_sigma"
"pac_deep",-114.5613968,20.15019895,-133,15,"",-149.79792,59.961729767029,23.4026282958706,84.113414957646,30.7559384531276,144.075144724675,15.2112734274974,0.42499629434506,0.181573057709772
"pac_mid",-40.59066344,14.37172426,-49,20,"average of 1242 TR162-25 23",-65.79792,34.2912316917222,23.3784751905073,23.2062900190802,23.1072751363675,57.4975217108024,13.2861051238501,0.599451318957077,0.431792454614348
"atl_deep",-107.6649404,20.35685862,-127,19,"",-143.79792,59.4006305233287,26.0392396990632,77.5430721634087,31.326340757878,136.943702686737,16.364488789316,0.441105023319779,0.204487778197908
"so_deep",-95.47067955,17.01590868,-128,19,"13ka diff",-144.79792,70.2831481506682,24.4335517394906,59.7838908595367,27.1357371723781,130.067039010205,14.2969996974882,0.545085005611391,0.195592981623474
