basin_depth,D14C_anom,D14C_err,o2_anom,o2_err,comment
pac_deep,-114.5613968,20.15019895,-133,15,
pac_mid,-40.59066344,14.37172426,-49,20,average of 1242 TR162-25 23
atl_deep,-107.6649404,20.35685862,-127,19,
so_deep,-95.47067955,17.01590868,-128,19,13ka diff
