"basin_depth","D14C_anom","D14C_err","o2_anom","o2_err","comment","o2_anom_sol","DDIC_soft_LGM","DDIC_dis_LGM","DDIC_total_LGM","frac_soft_lgm"
"pac_deep",-114.5613968,20.15019895,-133,15,"",-149.79792,60.8039318138009,83.3356549465635,144.139586760364,0.421840614229656
"pac_mid",-40.59066344,14.37172426,-49,20,"average of 1242 TR162-25 23",-65.79792,34.3918788016857,22.9195897609117,57.3114685625974,0.600087201815843
"atl_deep",-107.6649404,20.35685862,-127,19,"",-143.79792,60.1910859981616,76.7517443884501,136.942830386612,0.439534408834931
"so_deep",-95.47067955,17.01590868,-128,19,"13ka diff",-144.79792,70.8313480441364,59.0809565133937,129.91230455753,0.545224321017026
